Date,Price,Open,High,Low,Vol.,Change %
03/29/2023,"1,056.33","1,054.29","1,056.33","1,048.26",460.96K,0.19%
03/28/2023,"1,054.29","1,052.25","1,059.83","1,051.75",648.10K,0.19%
03/27/2023,"1,052.25","1,047.78","1,053.78","1,041.99",556.95K,0.52%
03/24/2023,"1,046.79","1,045.10","1,052.29","1,044.02",579.74K,0.16%
03/23/2023,"1,045.10","1,040.54","1,045.10","1,030.93",431.45K,0.44%
03/22/2023,"1,040.54","1,032.43","1,042.84","1,032.43",458.78K,0.79%
03/21/2023,"1,032.43","1,023.10","1,036.15","1,017.05",474.89K,0.91%
03/20/2023,"1,023.10","1,045.14","1,045.14","1,022.71",567.36K,-2.11%
03/17/2023,"1,045.14","1,047.40","1,055.42","1,043.54",564.93K,-0.22%
03/16/2023,"1,047.40","1,062.19","1,062.19","1,043.65",532.93K,-1.39%
03/15/2023,"1,062.19","1,040.13","1,062.55","1,040.13",622.86K,2.12%
03/14/2023,"1,040.13","1,052.80","1,052.80","1,034.72",621.19K,-1.20%
03/13/2023,"1,052.80","1,053.00","1,055.58","1,045.46",625.07K,-0.02%
3/10/2023,"1,053.00","1,055.95","1,055.95","1,046.31",508.59K,-0.28%
3/9/2023,"1,055.95","1,049.18","1,060.56","1,049.18",609.04K,0.65%
3/8/2023,"1,049.18","1,037.84","1,049.18","1,027.80",510.28K,1.09%
3/7/2023,"1,037.84","1,027.18","1,043.92","1,027.18",473.17K,1.04%
3/6/2023,"1,027.18","1,024.77","1,042.43","1,024.77",421.90K,0.24%
3/3/2023,"1,024.77","1,038.10","1,041.82","1,022.78",447.72K,-1.24%
3/2/2023,"1,037.61","1,039.00","1,043.80","1,033.07",373.16K,-0.28%
3/1/2023,"1,040.55","1,024.68","1,040.55","1,013.37",523.62K,1.55%
02/28/2023,"1,024.68","1,021.25","1,034.36","1,018.72",432.96K,0.34%
02/27/2023,"1,021.25","1,039.56","1,039.56","1,017.55",588.61K,-1.76%
02/24/2023,"1,039.56","1,053.66","1,053.66","1,034.66",430.41K,-1.34%
02/23/2023,"1,053.66","1,054.28","1,054.48","1,030.58",720.75K,-0.06%
02/22/2023,"1,054.28","1,082.23","1,082.23","1,054.28",814.01K,-2.58%
02/21/2023,"1,082.23","1,086.69","1,095.10","1,081.80",720.35K,-0.41%
02/20/2023,"1,086.69","1,059.74","1,088.01","1,059.56",682.29K,2.58%
02/17/2023,"1,059.31","1,058.29","1,062.25","1,053.26",465.08K,0.10%
02/16/2023,"1,058.29","1,048.20","1,058.29","1,047.45",475.80K,0.96%
02/15/2023,"1,048.20","1,038.64","1,051.89","1,034.39",585.76K,0.92%
02/14/2023,"1,038.64","1,043.70","1,046.64","1,032.76",395.73K,-0.48%
02/13/2023,"1,043.70","1,055.30","1,055.30","1,031.70",681.32K,-1.10%
2/10/2023,"1,055.30","1,064.03","1,066.28","1,054.08",463.94K,-0.82%
2/9/2023,"1,064.03","1,072.22","1,075.20","1,064.03",473.85K,-0.76%
2/8/2023,"1,072.22","1,065.84","1,079.51","1,063.50",569.32K,0.60%
2/7/2023,"1,065.84","1,089.29","1,092.12","1,065.18",673.21K,-2.15%
2/6/2023,"1,089.29","1,077.15","1,089.29","1,067.24",527.01K,1.13%
2/3/2023,"1,077.15","1,077.59","1,081.89","1,070.46",563.83K,-0.04%
2/2/2023,"1,077.59","1,075.97","1,083.36","1,070.81",634.74K,0.15%
2/1/2023,"1,075.97","1,111.18","1,116.96","1,075.97",1.03M,-3.17%
01/31/2023,"1,111.18","1,102.57","1,111.18","1,088.25",748.42K,0.78%
01/30/2023,"1,102.57","1,117.10","1,118.46","1,102.57",798.68K,-1.30%
01/27/2023,"1,117.10","1,108.08","1,124.30","1,108.08",604.93K,0.81%
01/19/2023,"1,108.08","1,098.28","1,111.72","1,094.46",617.71K,0.89%
01/18/2023,"1,098.28","1,088.29","1,100.39","1,088.29",604.20K,0.92%
01/17/2023,"1,088.29","1,066.68","1,088.29","1,066.68",673.93K,2.03%
01/16/2023,"1,066.68","1,060.17","1,067.74","1,057.87",520.79K,0.61%
01/13/2023,"1,060.17","1,056.39","1,066.39","1,055.23",670.23K,0.36%
1/12/2023,"1,056.39","1,055.76","1,060.97","1,050.27",506.47K,0.06%
1/11/2023,"1,055.76","1,053.35","1,065.69","1,053.35",545.18K,0.23%
1/10/2023,"1,053.35","1,054.21","1,057.44","1,045.75",546.26K,-0.08%
1/9/2023,"1,054.21","1,058.28","1,062.12","1,050.95",475.20K,0.26%
1/6/2023,"1,051.44","1,055.82","1,065.58","1,047.26",698.50K,-0.41%
1/5/2023,"1,055.82","1,048.17","1,058.14","1,046.64",535.05K,0.91%
1/4/2023,"1,046.35","1,043.90","1,052.60","1,041.56",647.73K,0.23%
1/3/2023,"1,043.90","1,007.09","1,043.90","1,007.09",551.33K,3.66%
12/30/2022,"1,007.09","1,009.29","1,017.99","1,007.09",407.14K,-0.22%
12/29/2022,"1,009.29","1,015.66","1,021.96","1,009.29",462.66K,-0.63%
12/28/2022,"1,015.66","1,004.57","1,020.52",998.97,590.45K,1.10%
12/27/2022,"1,004.57",985.21,"1,007.88",983.67,593.36K,1.97%
12/26/2022,985.21,"1,020.34","1,021.89",985.21,623.49K,-3.44%
12/23/2022,"1,020.34","1,022.61","1,027.34","1,013.20",544.11K,-0.22%
12/22/2022,"1,022.61","1,018.88","1,033.18","1,016.54",714.22K,0.37%
12/21/2022,"1,018.88","1,033.34","1,033.84","1,005.43",857.33K,-0.42%
12/20/2022,"1,023.13","1,038.40","1,038.74","1,010.08",1.08M,-1.47%
12/19/2022,"1,038.40","1,052.48","1,065.59","1,038.40",988.84K,-1.34%
12/16/2022,"1,052.48","1,055.32","1,064.79","1,047.16",881.53K,-0.27%
12/15/2022,"1,055.32","1,049.16","1,062.61","1,049.06",731.12K,0.47%
12/14/2022,"1,050.43","1,047.45","1,062.18","1,046.43",792.04K,0.28%
12/13/2022,"1,047.45","1,032.07","1,047.45","1,026.30",798.74K,1.49%
12/12/2022,"1,032.07","1,051.81","1,065.16","1,032.07",909.57K,-1.88%
12/9/2022,"1,051.81","1,050.53","1,061.21","1,041.39",788.20K,0.12%
12/8/2022,"1,050.53","1,041.02","1,078.09","1,041.02",916.99K,0.91%
12/7/2022,"1,041.02","1,048.69","1,059.79","1,034.92",920.94K,-0.73%
12/6/2022,"1,048.69","1,093.67","1,093.67","1,048.69",1.48M,-4.11%
12/5/2022,"1,093.67","1,080.01","1,099.45","1,080.01",1.26M,1.26%
12/2/2022,"1,080.01","1,036.28","1,080.01","1,030.81",1.09M,4.22%
12/1/2022,"1,036.28","1,048.42","1,066.28","1,035.62",1.34M,-1.16%
11/30/2022,"1,048.42","1,032.16","1,048.42","1,021.54",1.14M,1.58%
11/29/2022,"1,032.16","1,005.69","1,032.16",998.56,1.18M,2.63%
11/28/2022,"1,005.69",971.46,"1,006.22",971.46,973.79K,3.52%
11/25/2022,971.46,947.71,971.46,947.71,622.50K,2.51%
11/24/2022,947.71,946,950.03,934.31,543.14K,0.18%
11/23/2022,946,952.12,958.61,942.02,542.12K,-0.64%
11/22/2022,952.12,960.65,985.28,948.52,1.05M,-0.89%
11/21/2022,960.65,969.33,973.19,956.77,597.72K,-0.90%
11/18/2022,969.33,969.26,971.77,939.73,960.58K,0.01%
11/17/2022,969.26,942.9,972.88,942.9,724.46K,2.80%
11/16/2022,942.9,911.9,945.42,873.78,1.05M,3.40%
11/15/2022,911.9,941.04,941.04,900.17,692.34K,-3.10%
11/14/2022,941.04,954.53,954.53,923.53,666.06K,-1.41%
11/11/2022,954.53,947.24,966.7,947.24,736.49K,0.77%
11/10/2022,947.24,975.97,976.31,935.78,698.76K,-3.89%
11/9/2022,985.59,981.65,994.79,977.93,583.06K,0.40%
11/8/2022,981.65,975.19,981.86,956.97,660.72K,0.66%
11/7/2022,975.19,997.15,997.15,969.61,646.85K,-2.20%
11/4/2022,997.15,"1,008.23","1,009.96",974.61,753.11K,-2.22%
11/3/2022,"1,019.81","1,023.19","1,023.95","1,010.65",442.89K,-0.33%
11/2/2022,"1,023.19","1,033.75","1,034.73","1,018.64",578.23K,-1.02%
